app_name,tags,specs,id,metascore,developer,Accounting,Action,Adventure,Animation &amp,Audio production,Casual,Design &amp,Early access,Education,Free to play,Illustration,Indie,Massively multiplayer,Modeling,None,Photo editing,Rpg,Racing,Simulation,Software training,Sports,Strategy,Utilities,Video production,Web publishing,release_year,playtimeforever
Counter-Strike,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",10,88,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,17385259
Team Fortress Classic,"['Action', 'FPS', 'Multiplayer', 'Classic', 'Shooter', 'Class-Based', 'Team-Based', 'First-Person', ""1990's"", 'Co-op', 'Competitive', 'Fast-Paced', 'Online Co-Op', 'Remake', 'Retro', 'Mod', 'Funny', 'Adventure', 'Story Rich', 'Casual']","['Multi-player', 'Valve Anti-Cheat enabled']",20,0,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,961349
Day of Defeat,"['FPS', 'World War II', 'Multiplayer', 'Action', 'Shooter', 'War', 'Team-Based', 'Classic', 'Class-Based', 'First-Person', 'Historical', 'Military', 'Co-op', 'Singleplayer', 'Tactical']","['Multi-player', 'Valve Anti-Cheat enabled']",30,79,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,758752
Deathmatch Classic,"['Action', 'FPS', 'Multiplayer', 'Classic', 'Shooter', 'First-Person', 'Arena Shooter', 'Sci-fi']","['Multi-player', 'Valve Anti-Cheat enabled']",40,0,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,154335
Half-Life: Opposing Force,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Classic', 'Shooter', 'First-Person', 'Aliens', 'Adventure', ""1990's"", 'Atmospheric', 'Military', 'Story Rich', 'Co-op', 'Silent Protagonist', 'Great Soundtrack', 'Puzzle']","['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",50,0,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,734415
Ricochet,"['Action', 'FPS', 'Multiplayer', 'First-Person', 'Cyberpunk', 'Classic', 'Space', 'Sci-fi', 'Shooter', 'Conspiracy', 'Memes', 'Platformer', 'Psychological Horror']","['Multi-player', 'Valve Anti-Cheat enabled']",60,0,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,157786
Half-Life,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']","['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",70,96,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,2682436
Counter-Strike: Condition Zero,"['Action', 'FPS', 'Shooter', 'Multiplayer', 'Singleplayer', 'Tactical', 'First-Person', 'Competitive', 'Team-Based', 'Classic', 'Strategy', 'Military', 'Online Co-Op', 'Adventure', 'Open World', 'Survival', 'Atmospheric', 'Dark', 'Simulation', 'Horror']","['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",80,65,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2503454
Half-Life: Blue Shift,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Classic', 'Adventure', 'Zombies', 'Short', ""1990's"", 'Atmospheric', 'Story Rich', 'Silent Protagonist', 'Puzzle']",['Single-player'],130,71,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,441275
Half-Life 2,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Classic', 'Story Rich', 'Shooter', 'Adventure', 'First-Person', 'Dystopian', 'Atmospheric', 'Zombies', 'Aliens', 'Great Soundtrack', 'Silent Protagonist', 'Physics', 'Multiplayer', 'Horror', 'Moddable', 'Puzzle']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Includes Source SDK']",220,96,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,10857046
