id,app_name
10.0,Counter-Strike
20.0,Team Fortress Classic
30.0,Day of Defeat
40.0,Deathmatch Classic
50.0,Half-Life: Opposing Force
60.0,Ricochet
70.0,Half-Life
80.0,Counter-Strike: Condition Zero
130.0,Half-Life: Blue Shift
220.0,Half-Life 2
240.0,Counter-Strike: Source
280.0,Half-Life: Source
300.0,Day of Defeat: Source
320.0,Half-Life 2: Deathmatch
340.0,Half-Life 2: Lost Coast
360.0,Half-Life Deathmatch: Source
380.0,Half-Life 2: Episode One
400.0,Portal
420.0,Half-Life 2: Episode Two
440.0,Team Fortress 2
500.0,Left 4 Dead
550.0,Left 4 Dead 2
620.0,Portal 2
630.0,Alien Swarm
730.0,Counter-Strike: Global Offensive
1002.0,Rag Doll Kung Fu
1200.0,Red Orchestra: Ostfront 41-45
1230.0,Mare Nostrum
1250.0,Killing Floor
1256.0,Killing Floor Outbreak Character Pack
1257.0,Killing Floor: Nightfall Character Pack
1280.0,Darkest Hour: Europe '44-'45
1300.0,SiN Episodes: Emergence
1500.0,Darwinia
1510.0,Uplink
1520.0,DEFCON
1530.0,Multiwinia
1600.0,Dangerous Waters
1610.0,Space Empires IV Deluxe
1620.0,Jagged Alliance 2 Gold
1630.0,Disciples II: Rise of the Elves
1640.0,Disciples II: Gallean's Return
1670.0,Iron Warriors: T - 72 Tank Command
1690.0,Space Empires V
1700.0,Arx Fatalis
1840.0,Source Filmmaker
1900.0,Earth 2160
1930.0,Two Worlds Epic Edition
2100.0,Dark Messiah of Might & Magic
2200.0,Quake III Arena
2210.0,Quake IV
2270.0,Wolfenstein 3D
2280.0,Ultimate Doom
2290.0,Final DOOM
2300.0,DOOM II
2310.0,QUAKE
2320.0,QUAKE II
2330.0,QUAKE II Mission Pack: The Reckoning
2340.0,QUAKE II Mission Pack: Ground Zero
2350.0,QUAKE III: Team Arena
2360.0,HeXen: Beyond Heretic
2370.0,HeXen: Deathkings of the Dark Citadel
2390.0,Heretic: Shadow of the Serpent Riders
2400.0,The Ship: Murder Party
2420.0,The Ship: Single Player
2450.0,Bloody Good Time
2500.0,Shadowgrounds
2520.0,Gumboy - Crazy Adventures™
2540.0,RIP - Trilogy™
2570.0,Vigil: Blood Bitterness™
2590.0,Alpha Prime
2600.0,Vampire: The Masquerade - Bloodlines
2610.0,GUN™
2620.0,Call of Duty®
2630.0,Call of Duty® 2
2640.0,Call of Duty: United Offensive
2700.0,RollerCoaster Tycoon® 3: Platinum
2710.0,Act of War: Direct Action
2720.0,ThreadSpace: Hyperbol
2780.0,ARMA: Combat Operations
2800.0,X2: The Threat
2810.0,X3: Reunion
2820.0,X3: Terran Conflict
2840.0,X: Beyond the Frontier
2850.0,X: Tension
2870.0,X Rebirth
2900.0,688(I) Hunter/Killer
2910.0,Fleet Command
2920.0,Sub Command
2990.0,FlatOut 2™
3010.0,Xpand Rally
3020.0,Call of Juarez™
3050.0,Xpand Rally Xtreme
3130.0,Men of War: Red Tide
3170.0,King's Bounty: Armored Princess
3230.0,Genesis Rising
3260.0,Safecracker: The Ultimate Puzzle Adventure
3270.0,Painkiller Overdose
3300.0,Bejeweled 2 Deluxe
3310.0,Chuzzle Deluxe
3320.0,Insaniquarium Deluxe
3330.0,Zuma Deluxe
3340.0,AstroPop Deluxe
3350.0,Bejeweled Deluxe
3360.0,Big Money! Deluxe
3380.0,Dynomite Deluxe
3390.0,Feeding Frenzy 2 Deluxe
3400.0,Hammer Heads Deluxe
3410.0,Heavy Weapon Deluxe
3420.0,Iggle Pop Deluxe
3430.0,Pizza Frenzy Deluxe
3440.0,Rocket Mania Deluxe
3450.0,Typer Shark! Deluxe
3460.0,Talismania Deluxe
3480.0,Peggle Deluxe
3483.0,Peggle Extreme
3490.0,Venice Deluxe
3500.0,Mystery P.I.™ - The Lottery Ticket
3510.0,Amazing Adventures The Lost Tomb™
3520.0,Mystery P.I.™ - The Vegas Heist
3530.0,Amazing Adventures Around the World
3540.0,Peggle™ Nights
3560.0,Bejeweled Twist
3570.0,Mystery P.I.™ - The New York Fortune
3580.0,The Wizard's Pen™
3590.0,Plants vs. Zombies GOTY Edition
3600.0,Escape Rosecliff Island
3610.0,Mystery P.I. - Lost in Los Angeles
3620.0,Zuma's Revenge!
3700.0,Sniper Elite
3710.0,Judge Dredd: Dredd vs. Death
3720.0,Evil Genius
3730.0,Aliens versus Predator Classic 2000
3800.0,Advent Rising
3810.0,BloodRayne
3820.0,BloodRayne 2
3830.0,Psychonauts
3838.0,Psychonauts Original Soundtrack
3839.0,Psychonauts Original Score
3900.0,Sid Meier's Civilization® IV
3910.0,Sid Meier's Civilization® III Complete
3920.0,Sid Meier's Pirates!
3960.0,Shattered Union
3980.0,CivCity: Rome
3990.0,Civilization IV®: Warlords
4000.0,Garry's Mod
4100.0,Poker Superstars II
4230.0,RACE - The WTCC Game
4290.0,RACE: Caterham Expansion
4300.0,RoboBlitz
4420.0,Silverfall
4460.0,City Life 2008
4470.0,Silverfall: Earth Awakening
4500.0,S.T.A.L.K.E.R.: Shadow of Chernobyl
4520.0,Full Spectrum Warrior
4530.0,Full Spectrum Warrior: Ten Hammers
4560.0,Company of Heroes - Legacy Edition
4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
4700.0,Medieval II: Total War™
4720.0,Condemned: Criminal Origins
4760.0,Rome: Total War™ - Collection
4770.0,Rome: Total War™ - Alexander
4780.0,Medieval II: Total War™ Kingdoms
4800.0,Heroes of Annihilated Empires
4850.0,Cossacks: Back to War
4856.0,Cossacks: Campaign Expansion
4870.0,Cossacks: Art of War
4880.0,Cossacks: European Wars
4890.0,Cossacks II: Battle for Europe
4900.0,Zen of Sudoku
4920.0,Natural Selection 2
6000.0,STAR WARS™ Republic Commando™
6010.0,Indiana Jones® and the Fate of Atlantis™
6020.0,STAR WARS™ Jedi Knight - Jedi Academy™
6030.0,STAR WARS™ Jedi Knight II - Jedi Outcast™
6040.0,The Dig®
6060.0,"Star Wars: Battlefront 2 (Classic, 2005)"
6080.0,Thrillville®: Off the Rails™
6090.0,Armed and Dangerous®
6120.0,Shank
6200.0,Ghost Master®
6210.0,Vegas: Make It Big™
6220.0,FlatOut
6250.0,Making History: The Calm & the Storm
6300.0,Dreamfall: The Longest Journey
6310.0,The Longest Journey
6370.0,Bloodline Champions
6400.0,Joint Task Force
6420.0,Nexus - The Jupiter Incident
6510.0,Lost Planet™: Extreme Condition
6550.0,Devil May Cry® 3 Special Edition
6600.0,Bullet Candy
6800.0,Commandos: Behind Enemy Lines
6810.0,Commandos: Beyond the Call of Duty
6830.0,Commandos 2: Men of Courage
6840.0,Commandos 3: Destination Berlin
6850.0,Hitman 2: Silent Assassin
6860.0,Hitman: Blood Money
6870.0,Battlestations: Midway
6880.0,Just Cause
6900.0,Hitman: Codename 47
6910.0,Deus Ex: Game of the Year Edition
6920.0,Deus Ex: Invisible War
6980.0,Thief: Deadly Shadows
7000.0,Tomb Raider: Legend
7010.0,Project: Snowblind
7020.0,Rogue Trooper
7110.0,Jade Empire™: Special Edition
7200.0,Trackmania United Forever Star Edition
7210.0,"Runaway, A Road Adventure"
7220.0,"Runaway, The Dream of The Turtle"
7260.0,Loki
7340.0,Azada
7510.0,X-Blades
7520.0,Two Worlds II HD
7530.0,Two Worlds II Castle Defense
7600.0,Sid Meier's Railroads!
7610.0,Railroad Tycoon 3
7620.0,Railroad Tycoon II Platinum
7650.0,X-COM: Terror From the Deep
7660.0,X-COM: Apocalypse
7670.0,BioShock™
7730.0,X-COM: Interceptor
7760.0,X-COM: UFO Defense
7770.0,X-COM: Enforcer
7830.0,Men of War™
7840.0,Death Track®: Resurrection
7860.0,NecroVision
7940.0,Call of Duty® 4: Modern Warfare®
8000.0,Tomb Raider: Anniversary
8080.0,Kane and Lynch: Dead Men™
8100.0,Conflict: Denied Ops
8140.0,Tomb Raider: Underworld
8170.0,Battlestations Pacific
8190.0,Just Cause 2
8200.0,Sam & Max 101: Culture Shock
8210.0,Sam & Max 102: Situation: Comedy
8220.0,"Sam & Max 103: The Mole, the Mob and the Meatball"
8230.0,Sam & Max 104: Abe Lincoln Must Die!
8240.0,Sam & Max 105: Reality 2.0
8250.0,Sam & Max 106: Bright Side of the Moon
8260.0,Sam & Max 201: Ice Station Santa
8270.0,Sam & Max 202: Moai Better Blues
8280.0,Sam & Max 203: Night of the Raving Dead
8290.0,Sam & Max 204: Chariots of the Dogs
