ids,playtimeforever
10,17385259
100,311719
10000,63045
1002,891
100400,6542
100410,63309
10080,2848
10090,7665343
100970,20848
100980,11364
10100,1248
10110,3686
10120,845
10130,38105
10140,9207
10150,751976
10170,41015
10180,5547422
10190,38277772
10220,77288
102200,42653
10230,844
10240,1679
102400,2096
10250,803
102500,1581793
10260,2334
102600,1178347
10270,13663
102700,290694
102810,8770
102820,154630
102840,181424
102850,22646
10400,38
104000,30757
104020,4240
104100,2136
104200,104023
10430,46989
10460,1431
104600,47210
104700,2051985
10480,229
104900,2201609
10500,9994550
105000,18281
105100,5191
10530,9913
105300,10885
10540,360046
105400,1102157
105420,11656
105430,1149674
105450,4980990
105600,154974404
105700,3161
105800,38662
10590,6472
106000,12697
106010,13293
10650,3012
10660,380
10680,1476272
10690,3922
10700,588
107000,2372
107100,2077175
107200,1084316
107300,34599
107310,170217
107400,158391
107410,67331888
107600,26459
107800,75492
107900,736744
108100,2531
108110,5441
108200,137732
108210,16307
108500,71968
108600,1766202
108700,44182
108710,1006282
108800,1603517
109200,892
109400,1605001
109410,32506
109500,1450
109600,6467149
109700,4033
11020,1185835
11040,7554
110400,11961
11050,3606
110500,74264
11060,3722
110600,1432
110610,755
110630,1226
110800,2124582
111000,1683
111010,1779
111100,28620
11120,1663
11130,3387
111300,1121
11140,8627
111400,35508
11150,6542
111600,34371
11170,52668
11180,2410
111800,139413
11190,17653
111900,93217
11200,57931
112100,64932
11230,7987
11240,16414
11250,7225
11260,16482
11280,39941
113020,1381562
113200,16383453
11330,13434
11340,9697
113400,14346862
113420,1564077
11360,6646
11370,4183
11390,46209
113900,29595
11420,28955
11440,23906
11450,397281
11480,13132
11500,24629
115100,221176
115110,169797
115120,96497
11520,21866
115200,8945
115210,13681
115220,7595
115320,750928
11550,3913
11560,5413
11590,19610
11610,2973419
116100,9484
116120,2841
11900,8806
11920,2757
1200,271313
12100,304672
12110,814856
12120,3223996
12130,8099
12140,284417
12150,199623
12160,30617
12170,14853
12180,8457
12200,1415936
12210,13018715
12220,4127516
12230,21473
12240,50499
12250,425749
12260,115
1230,17344
12310,205
12320,74466
12330,28421
12340,7747
12360,161756
12370,42380
12380,3122
12390,916
12420,1655
12430,3402
12440,1862
12450,1942
12460,8926
12470,37295
12480,73141
1250,29992448
12500,128284
12510,37067
12520,24732
12530,3864
12540,508
12550,211
12560,1051
12570,47
12580,2558
12590,7470
12600,531
12630,1036
12640,11133
12660,30
12690,5423
12710,305082
12750,752814
12770,15120
12790,15622
1280,261598
12800,135028
12810,583605
12830,198983
12840,461353
12860,55448
12900,1740352
130,441275
1300,10625
13000,2234
1309,71
1313,2002
13140,687364
13200,24741
13210,662686
13230,349072
13240,205720
13250,24127
13500,40017
13510,32098
13520,327015
13530,30465
13540,22473
13560,79569
13570,133572
13580,60053
13600,62780
13620,5392
13630,5043
13640,16605
13700,5380
1500,61731
15000,5004
15060,2934
15080,3728
1510,180144
15100,887322
15120,380037
15130,50143
15140,254
15150,1989
15160,61001
15170,362618
15190,56242
1520,221221
15200,39161
15210,80461
15220,2262
15230,6509
15240,14364
15270,1842
15280,209
15290,340
1530,48299
15300,41211
15310,23532
15320,203115
15370,142130
15380,20593
15390,73312
15400,12395
15500,34106
15520,106313
15540,35757
15560,31131
15620,6080476
15700,268777
15710,153926
15740,63183
15750,104990
15900,389
15910,792
15920,5572
15930,3889
15940,25
15950,3049
